time_iso8601,forks_cumulative
2025-12-31 00:00:00+00:00,2
2026-01-09 00:00:00+00:00,3
2026-01-12 00:00:00+00:00,4
2026-01-18 00:00:00+00:00,7
2026-01-19 00:00:00+00:00,9
2026-01-21 00:00:00+00:00,10
2026-01-22 00:00:00+00:00,11
2026-01-23 00:00:00+00:00,12
2026-01-24 00:00:00+00:00,13
2026-01-29 00:00:00+00:00,14
2026-01-30 00:00:00+00:00,16
2026-02-01 00:00:00+00:00,17
2026-02-02 00:00:00+00:00,19
2026-02-03 00:00:00+00:00,22
2026-02-07 00:00:00+00:00,24
2026-02-08 00:00:00+00:00,31
2026-02-09 00:00:00+00:00,34
2026-02-10 00:00:00+00:00,38
2026-02-11 00:00:00+00:00,41
2026-02-12 00:00:00+00:00,45
2026-02-13 00:00:00+00:00,46
2026-02-15 00:00:00+00:00,47
2026-02-16 00:00:00+00:00,48
2026-02-17 00:00:00+00:00,49
2026-02-18 00:00:00+00:00,50
2026-02-21 00:00:00+00:00,51
2026-02-23 00:00:00+00:00,53
2026-02-24 00:00:00+00:00,55
2026-02-25 00:00:00+00:00,56
2026-02-26 00:00:00+00:00,57
2026-03-02 00:00:00+00:00,58
2026-03-03 00:00:00+00:00,61
2026-03-06 00:00:00+00:00,63
2026-03-07 00:00:00+00:00,65
2026-03-08 00:00:00+00:00,67
2026-03-09 00:00:00+00:00,68
2026-03-11 00:00:00+00:00,70
2026-03-12 00:00:00+00:00,71
2026-03-13 00:00:00+00:00,72
2026-03-15 00:00:00+00:00,74
2026-03-17 00:00:00+00:00,75
2026-03-21 00:00:00+00:00,76
2026-03-22 00:00:00+00:00,77
2026-03-24 00:00:00+00:00,78
2026-03-27 00:00:00+00:00,79
2026-03-28 00:00:00+00:00,80
2026-03-30 00:00:00+00:00,81
2026-04-01 00:00:00+00:00,82
2026-04-04 00:00:00+00:00,83
2026-04-06 00:00:00+00:00,84
2026-04-07 00:00:00+00:00,85
2026-04-08 00:00:00+00:00,87
2026-04-09 00:00:00+00:00,89
2026-04-10 00:00:00+00:00,91
2026-04-12 00:00:00+00:00,92
2026-04-15 00:00:00+00:00,93
2026-04-16 00:00:00+00:00,94
2026-04-17 00:00:00+00:00,95
2026-04-18 00:00:00+00:00,98
2026-04-20 00:00:00+00:00,99
2026-04-21 00:00:00+00:00,101
2026-04-24 00:00:00+00:00,103
2026-04-25 00:00:00+00:00,104
2026-04-26 00:00:00+00:00,105
2026-04-27 00:00:00+00:00,106
2026-04-28 00:00:00+00:00,107
2026-04-29 00:00:00+00:00,108
2026-04-30 00:00:00+00:00,109
2026-05-01 00:00:00+00:00,111
2026-05-03 00:00:00+00:00,112
2026-05-05 00:00:00+00:00,113
2026-05-06 00:00:00+00:00,119
2026-05-07 00:00:00+00:00,120
2026-05-08 00:00:00+00:00,126
2026-05-09 00:00:00+00:00,128
2026-05-10 00:00:00+00:00,133
2026-05-11 00:00:00+00:00,135
2026-05-12 00:00:00+00:00,140
2026-05-13 00:00:00+00:00,148
2026-05-14 00:00:00+00:00,158
2026-05-15 00:00:00+00:00,167
2026-05-16 00:00:00+00:00,172
2026-05-17 00:00:00+00:00,176
2026-05-18 00:00:00+00:00,179
2026-05-19 00:00:00+00:00,183
2026-05-20 00:00:00+00:00,190
2026-05-21 00:00:00+00:00,192
2026-05-22 00:00:00+00:00,195
2026-05-23 00:00:00+00:00,197
